"TIMESTAMP","RELATIVE_HUMIDITY","TEMPERATURE","PARENT_ID"
"2011-06-08 13:37:00",51,20.5,1
"2011-06-08 14:37:00",50,20.3,1
"2011-06-08 15:37:00",50,20.3,1
"2011-06-08 16:37:00",49,20.5,1
"2011-06-08 17:37:00",49,20.5,1
"2011-06-08 18:37:00",49,20,1
"2011-06-08 19:37:00",48,20,1
"2011-06-08 20:37:00",49,20.3,1
"2011-06-08 21:37:00",49,21.5,1
"2011-06-08 22:37:00",48,22.8,1
"2011-06-08 23:37:00",47,23,1
"2011-05-04 13:30:00",89,5.5,2
"2011-05-04 14:30:00",90,5.5,2
"2011-05-04 15:30:00",89,5.5,2
"2011-05-04 16:30:00",89,5.5,2
"2011-05-04 17:30:00",89,5.5,2
"2011-05-04 18:30:00",89,5.5,2
"2011-05-04 19:30:00",89,5.5,2
"2011-05-04 20:30:00",88,5.5,2
"2011-05-04 21:30:00",88,5.5,2
"2011-05-04 22:30:00",88,5.5,2
"2011-05-04 23:30:00",88,5.5,2
"2011-05-05 00:30:00",88,5.5,2
"2011-05-05 01:30:00",88,5.5,2
"2011-05-05 18:31:00",87,5.5,2
"2011-05-05 19:31:00",87,5.5,2
"2011-05-05 20:31:00",87,5.5,2
"2011-05-05 21:31:00",87,5.5,2
"2011-05-05 22:31:00",87,5.5,2
"2011-05-05 23:31:00",86,5.5,2
"2011-05-06 00:31:00",86,5.5,2
"2011-05-06 01:31:00",86,5.5,2
"2011-05-06 02:31:00",86,5.5,2
"2011-05-06 03:31:00",86,5.5,2
"2011-05-06 04:31:00",86,5.5,2
"2011-05-06 05:31:00",86,5.5,2
"2011-05-06 06:31:00",86,5.5,2
"2011-05-06 07:31:00",86,5.5,2
"2011-05-06 08:31:00",86,5.5,2
"2011-05-06 09:31:00",86,5.3,2
"2011-05-06 10:31:00",86,5.3,2
"2011-05-06 11:31:00",86,5.3,2
"2011-05-06 12:31:00",86,5.3,2
"2011-05-06 13:31:00",86,5.3,2
"2011-05-06 14:31:00",86,5.3,2
"2011-05-06 15:31:00",86,5.3,2
"2011-05-06 16:31:00",86,5.3,2
"2011-05-06 17:31:00",86,5.3,2
"2011-05-06 18:31:00",86,5.3,2
"2011-05-06 19:31:00",86,5.3,2
"2011-05-06 20:31:00",86,5.3,2
"2011-05-06 21:31:00",86,5.3,2
"2011-05-06 22:31:00",86,5.3,2
"2011-05-06 23:31:00",86,5,2
"2011-05-07 00:31:00",86,5,2
"2011-05-07 01:31:00",86,5,2
"2011-05-07 02:31:00",86,5,2
"2011-05-07 03:31:00",86,5,2
"2011-05-07 04:31:00",86,5,2
"2011-05-07 05:31:00",86,5,2
"2011-05-07 06:31:00",86,5,2
"2011-05-07 07:31:00",86,5,2
"2011-05-07 08:31:00",86,5,2
"2011-05-07 09:31:00",86,5,2
"2011-05-07 10:31:00",87,5,2
"2011-05-07 11:31:00",87,5,2
"2011-05-07 12:31:00",87,5,2
"2011-05-07 13:31:00",87,5,2
"2011-05-07 14:31:00",87,5,2
"2011-05-07 15:31:00",87,5,2
"2011-05-07 16:31:00",87,5,2
"2011-05-07 17:31:00",87,5,2
"2011-05-07 18:31:00",87,5,2
"2011-05-07 19:31:00",87,5,2
"2011-05-07 20:31:00",87,5,2
"2011-05-07 21:31:00",86,5,2
"2011-05-07 22:31:00",86,5,2
"2011-05-07 23:31:00",86,5,2
"2011-05-08 00:31:00",86,5,2
"2011-05-08 01:31:00",86,5,2
"2011-05-08 02:31:00",86,5,2
"2011-05-08 03:31:00",86,5,2
"2011-05-08 04:31:00",86,5,2
"2011-05-08 05:31:00",86,5,2
"2011-05-08 06:31:00",86,5,2
"2011-05-08 07:31:00",86,5,2
"2011-05-08 08:31:00",87,5,2
"2011-05-08 09:31:00",87,5,2
"2011-05-08 10:31:00",87,5,2
"2011-05-08 11:31:00",87,5,2
"2011-05-08 12:31:00",87,5,2
"2011-05-08 13:31:00",88,5,2
"2011-05-08 14:31:00",87,5,2
"2011-05-08 15:31:00",87,5,2
