ID,USER_ID,USER_NAME,SOURCE,TEXT,CREATED,FAVORITED,RETWEET,RETWEET_COUNT,RETWEET_BY_ME,POSSIBLY_SENSITIVE,GEO_LATITUDE,GEO_LONGITUDE,LANGUAGE_CODE,PLACE,PLACE_TYPE,PLACE_URL,STREET_ADDRESS,COUNTRY,COUNTRY_CODE,IN_REPLY_TO_STATUS_ID,IN_REPLY_TO_USER_ID,RETWEETED_STATUS_ID,RETWEETED_STATUS_USER_ID,RETWEETED_STATUS_CREATED,EXPANDED_URLS
410544859276382208,359452342,"PAULiNA 0","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@InshaneMembrane haaaappy birthday #10!!💥🙌 #staygrindin","2013-12-10 23:01:36",false,false,0,false,false,"","","","","","","","","",-1,334762883,"","","",""
410544859251236864,280772300,Sanders♊,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","RT @gaby_robiou: Cuando se entiende sí RT ""@iTePregunto: ¿Te gustan las matemáticas?""","2013-12-10 23:01:36",false,true,0,false,false,"","","","","","","","","",-1,-1,410544301098401792,197620568,"2013-12-10 22:59:23",""
410544859272200192,486081452,"Karini Sargiano ","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@_laosti hauaahussususususuaussususu","2013-12-10 23:01:36",false,false,0,false,false,"","","","","","","","","",410544562311282688,179539260,"","","",""
410544859288567808,375293600,"Anthony Goodman",web,"@joshlewis306 @biggles14 @boomer9191 @Rangers Marcus, he's only getting paid $1.6 mill so really no risk.","2013-12-10 23:01:36",false,false,0,false,false,"","","","","","","","","",410542480052871168,151097395,"","","",""
410544859263799296,1250256528,"Sɑ̠rɑ̠ ɑι'г̵̵αidi","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @5awa6rq8: يَـصلبُنا الأرقْ على حانات اللّيل
ويُبعثر أشلاءَنا في براثِن الأفُقْ
ويقترِع الظّلام كُؤوس دِمائنا في لجّة السحر
ويتراقص مع ب…","2013-12-10 23:01:36",false,true,0,false,false,"","","","","","","","","",-1,-1,410544351249707008,455265929,"2013-12-10 22:59:35",""
410544859288977408,2227199430,"amurkina faso","<a href=""http://bit.ly/tribez_itw"" rel=""nofollow"">The Tribez for Android</a>","Урожай собран - 302 еды! Ты тоже проверь свои грядки! http://t.co/93JGdom1ja #android, #androidgames, #gameinsight","2013-12-10 23:01:36",false,false,0,false,false,"","","","","","","","","",-1,-1,"","","",http://gigam.es/etw_Tribez
410544859259617280,338632752,"kayla.              ","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @itsHousePorn: The pool is bigger than the house! 🏊 http://t.co/FxAygjoxAU","2013-12-10 23:01:36",false,true,0,false,false,"","","","","","","","","",-1,-1,410197735951069184,1553706547,"2013-12-10 00:02:16",""
410544859288596480,1200625921,"七瀬 ましろ","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","おはやうございまし( ´▽`)♡","2013-12-10 23:01:36",false,false,0,false,false,"","","","","","","","","",-1,-1,"","","",""
410544859280183296,473704797,Ninaa,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","""@shelviyanaselpi: 11-12-13 . Kimia qurdis semoga lancar amin yaAllah""","2013-12-10 23:01:36",false,false,0,false,false,-0.471285,117.1734448,"","East Borneo",admin,https://api.twitter.com/1.1/geo/id/8f6d8fbc7060e679.json,"",Indonesia,ID,-1,-1,"","","",""
410544859267993600,102185963,"ebony payne","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","“@FxckCleatus: If you text me with one word , gtf !”RFT","2013-12-10 23:01:36",false,false,0,false,false,"","","","","","","","","",410544748865155072,717391631,"","","",""
410544859280584704,1107354254,"Ayse Karali","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @EysanDnr: Bileti olup yarın gidemeyecek olan arkadaşlar varsa biletini gidebilecek olanlara verirse stad boş olmaz :/","2013-12-10 23:01:36",false,true,0,false,false,"","","","","","","","","",-1,-1,410540492774858752,554868088,"2013-12-10 22:44:15",""
410544859284799488,1674108362,Kirito,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@AsunaYuukiOfSAO yeah im pretty awesone","2013-12-10 23:01:36",false,false,0,false,false,"","","","","","","","","",410543203968753664,1633398200,"","","",""
410544859267989504,59609542,"Andy Leal","<a href=""http://twicca.r246.jp/"" rel=""nofollow"">twicca</a>","I can help you as long as you are you accept it but don't take shit for granted. . YOU WILL BE CUT","2013-12-10 23:01:36",false,false,0,false,false,"","","","","","","","","",-1,-1,"","","",""
410544859288977408,295561873,"Marta Rodríguez ","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","""Aunque callada su persona,no cesa de hablar.Y es porque hay en sus ojillos negros y buidos,en la ironía de su sonrisa,ese algo misterioso.""","2013-12-10 23:01:36",false,false,0,false,false,"","","","","","","","","",-1,-1,"","","",""
410544859272208384,32337809,"Billie paige","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://t.co/gwuNBexLes,"2013-12-10 23:01:36",false,false,0,false,false,"","","","","","","","","",-1,-1,"","","",""
410544859263795200,1865420676,"Classic Rock ","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Dimebag Darrel and Ace Frehly http://t.co/YPJYMjjz2s","2013-12-10 23:01:36",false,false,0,false,false,"","","","","","","","","",-1,-1,"","","",""
