 num     #instances         #bytes  class name (module)
 178:           181           5792  sun.java2d.xr.DirtyRegion (java.desktop@11.0.2)
 179:           103           5768  javax.swing.Timer (java.desktop@11.0.2)
 180:           175           5600  sun.java2d.DefaultDisposerRecord (java.desktop@11.0.2)
 181:            16           5504  javax.swing.Box$Filler (java.desktop@11.0.2)
 182:           228           5472  javax.swing.KeyStroke (java.desktop@11.0.2)
 183:           113           5424  sun.awt.SoftCache$ValueCell (java.desktop@11.0.2)
 184:           113           5424  sun.awt.image.URLImageSource (java.desktop@11.0.2)
 185:            47           5320  [Z (java.base@11.0.2)
 186:            13           5200  javax.swing.JScrollPane (java.desktop@11.0.2)
 187:           159           5088  java.lang.invoke.BoundMethodHandle$Species_L (java.base@11.0.2)
 188:            90           5040  sun.java2d.xr.XRRenderer$XRDrawHandler (java.desktop@11.0.2)
 189:           157           5024  sun.awt.X11.XAtom (java.desktop@11.0.2)
 190:            88           4928  java.util.logging.Logger (java.logging@11.0.2)
 191:           152           4864  sun.awt.shell.DefaultShellFolder (java.desktop@11.0.2)
 192:           133           4824  [[B (java.base@11.0.2)
 193:            60           4800  java.net.URI (java.base@11.0.2)
 194:            35           4760  adams.flow.control.Sequence
 195:           119           4760  java.lang.invoke.DirectMethodHandle$Special (java.base@11.0.2)
 196:            76           4744  [[I (java.base@11.0.2)
 197:            12           4576  [Lsun.font.FontConfigManager$FontConfigFont; (java.desktop@11.0.2)
 198:           139           4448  sun.awt.X11.UnsafeXDisposerRecord (java.desktop@11.0.2)
 199:           185           4440  java.awt.datatransfer.MimeType (java.datatransfer@11.0.2)
 200:            92           4416  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@11.0.2)
 201:             9           4392  javax.swing.plaf.metal.MetalComboBoxButton (java.desktop@11.0.2)
 202:           135           4320  javax.swing.text.html.CSS$LengthValue (java.desktop@11.0.2)
 203:            90           4320  sun.java2d.xr.XRDrawLine (java.desktop@11.0.2)
 204:            59           4248  java.awt.Font (java.desktop@11.0.2)
 205:             9           4248  javax.swing.plaf.metal.MetalComboBoxEditor$1 (java.desktop@11.0.2)
 206:           132           4224  java.lang.module.ModuleDescriptor$Requires (java.base@11.0.2)
 207:            88           4224  javax.swing.text.html.parser.Element (java.desktop@11.0.2)
 208:            88           4224  sun.java2d.loops.MaskBlit (java.desktop@11.0.2)
 209:             2           4160  [Lcom.sun.beans.util.Cache$CacheEntry; (java.desktop@11.0.2)
 210:            65           4160  sun.security.ssl.SSLExtension (java.base@11.0.2)
 211:           129           4128  java.lang.ref.ReferenceQueue (java.base@11.0.2)
 212:             1           4112  [Ljava.nio.ByteBuffer; (java.base@11.0.2)
 213:           256           4096  java.lang.Byte (java.base@11.0.2)
 214:             6           4072  [[J (java.base@11.0.2)
 215:           168           4032  java.util.ImmutableCollections$SetN (java.base@11.0.2)
 216:           126           4032  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@11.0.2)
 217:             9           4032  javax.swing.plaf.basic.BasicComboPopup (java.desktop@11.0.2)
 218:           162           3888  jdk.internal.module.ServicesCatalog$ServiceProvider (java.base@11.0.2)
 219:           161           3864  java.util.concurrent.CopyOnWriteArrayList (java.base@11.0.2)
 220:            60           3840  java.lang.module.ModuleDescriptor (java.base@11.0.2)
 221:             8           3840  javax.swing.JMenu$1 (java.desktop@11.0.2)
 222:             8           3840  javax.swing.plaf.basic.BasicArrowButton (java.desktop@11.0.2)
 223:           119           3808  java.io.File (java.base@11.0.2)
 224:           118           3776  javax.swing.text.html.StyleSheet$SmallConversionSet (java.desktop@11.0.2)
 225:             8           3712  javax.swing.JToggleButton (java.desktop@11.0.2)
 226:            33           3696  javax.swing.plaf.basic.BasicTextUI$BasicCaret (java.desktop@11.0.2)
 227:             9           3672  javax.swing.plaf.basic.BasicComboPopup$1 (java.desktop@11.0.2)
 228:            90           3600  [Lsun.awt.EventQueueItem; (java.desktop@11.0.2)
 229:           225           3600  java.util.Collections$UnmodifiableSet (java.base@11.0.2)
 230:            90           3600  javax.swing.DefaultBoundedRangeModel (java.desktop@11.0.2)
 231:             7           3584  adams.gui.core.BaseFlatButton
 232:            89           3560  java.util.logging.Logger$ConfigurationData (java.logging@11.0.2)
 233:             7           3472  adams.gui.core.BaseMenu
 234:           142           3408  java.awt.Dimension (java.desktop@11.0.2)
 235:            71           3408  sun.java2d.xr.XRSurfaceDataProxy (java.desktop@11.0.2)
 236:            60           3360  jdk.internal.module.ModuleReferenceImpl (java.base@11.0.2)
 237:           104           3328  javax.swing.ActionPropertyChangeListener$OwnedWeakReference (java.desktop@11.0.2)
 238:             2           3312  [Lsun.java2d.loops.GraphicsPrimitive; (java.desktop@11.0.2)
 239:           206           3296  javax.swing.JMenuItem$MenuItemFocusListener (java.desktop@11.0.2)
 240:             8           3264  javax.swing.plaf.metal.MetalFileChooserUI$AlignedLabel (java.desktop@11.0.2)
 241:            80           3200  javax.swing.plaf.metal.MetalBumps (java.desktop@11.0.2)
 242:            25           3200  sun.nio.fs.UnixFileAttributes (java.base@11.0.2)
 243:           132           3168  adams.core.base.BaseAnnotation
 244:             8           3136  javax.swing.DefaultListCellRenderer$UIResource (java.desktop@11.0.2)
 245:            98           3136  sun.security.util.ObjectIdentifier (java.base@11.0.2)
 246:           127           3048  java.util.LinkedList$Node (java.base@11.0.2)
 247:           126           3024  java.security.Provider$UString (java.base@11.0.2)
 248:            63           3024  sun.net.www.MimeEntry (java.base@11.0.2)
 249:             8           3008  javax.swing.JRootPane (java.desktop@11.0.2)
 250:           186           2976  [Ljava.security.Principal; (java.base@11.0.2)
 251:           186           2976  java.security.ProtectionDomain$Key (java.base@11.0.2)
 252:           185           2960  java.awt.datatransfer.MimeTypeParameterList (java.datatransfer@11.0.2)
 253:           185           2960  sun.java2d.xr.MutableInteger (java.desktop@11.0.2)
 254:           123           2952  java.lang.Class$AnnotationData (java.base@11.0.2)
 255:            90           2880  sun.java2d.xr.XRRenderer (java.desktop@11.0.2)
 256:            71           2840  java.io.ObjectStreamField (java.base@11.0.2)
 257:             6           2832  adams.gui.core.BaseTextField
 258:           177           2832  javax.swing.plaf.basic.BasicMenuItemUI$Handler (java.desktop@11.0.2)
 259:            44           2816  com.mysql.jdbc.ConnectionPropertiesImpl$StringConnectionProperty
 260:             8           2816  javax.swing.JLayeredPane (java.desktop@11.0.2)
 261:             7           2800  adams.gui.core.BaseSplitPane
 262:             7           2800  com.googlecode.jfilechooserbookmarks.gui.BaseScrollPane
 263:            87           2784  java.awt.Insets (java.desktop@11.0.2)
 264:            87           2784  javax.swing.text.StyleContext$NamedStyle (java.desktop@11.0.2)
 265:             8           2752  adams.gui.core.BasePanel
 266:            57           2736  java.awt.image.DataBufferInt (java.desktop@11.0.2)
 267:            57           2736  java.awt.image.SinglePixelPackedSampleModel (java.desktop@11.0.2)
 268:            17           2720  sun.java2d.xr.XRSurfaceData$XRWindowSurfaceData (java.desktop@11.0.2)
 269:            48           2688  java.io.FileCleanable (java.base@11.0.2)
 270:            28           2688  java.util.jar.JarFile$JarFileEntry (java.base@11.0.2)
 271:           111           2664  javax.swing.ComponentInputMap (java.desktop@11.0.2)
