"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"306192219335974912","","","2013-02-26 00:01:28 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","New release 0.4.2 available! Boasts experimental R integration and WEKA webservice - https://t.co/oxknU97S9m","","","","https://adams.cms.waikato.ac.nz/downloads"
"304787923289661441","","","2013-02-22 03:01:18 +0000","<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","Video demonstrating the WEKA webservice capability. Allows non-Java clients to utilize WEKA functionality. http://t.co/uC6aRDSZkv","","","","http://youtu.be/90zhhvfzkWI?a"
"303978781129969665","","","2013-02-19 21:26:03 +0000","<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","Connecting to R from within the workflow using Rserve. http://t.co/IiV4KB6E","","","","http://youtu.be/E9m1So70fco?a"
"303349234923601920","","","2013-02-18 03:44:28 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","Just added support for writing conversion schemes (adams.data.conversion) using Jython and Groovy. See examples in respective manual.","","","",""
"303348895965143041","","","2013-02-18 03:43:07 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","The SpreadSheetConvertCells/TransformCells transformers allow you to convert cells with a conversion/global transformer.","","","",""
"301528327800369153","","","2013-02-13 03:08:50 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","Thanks to Rserve, you can now process data in the flow using R scripts: adams-r module (RStandalone, RSource, RTransformer, RSink).","","","",""
"301162681233182720","","","2013-02-12 02:55:53 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","Spreadsheets now support basic formulas, offering functions like sum or average that work on cell ranges and other mathematical ones.","","","",""
"299744832581152768","","","2013-02-08 05:01:51 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","The adams-weka-webservice now offers parameter optimization using the MultiSearch meta-classifier on the server-side.","","","",""
"299337772353859585","","","2013-02-07 02:04:21 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","Handling very large CSV files - https://t.co/3y2dKNVM","","","","https://adams.cms.waikato.ac.nz/elgg/blog/view/426/very-large-csv-files"
"299333290039595008","","","2013-02-07 01:46:32 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","Lookup tables/dictionaries support - https://t.co/1HAyPkd1","","","","https://adams.cms.waikato.ac.nz/elgg/blog/view/424/lookup-tablesdictionaries"
